Producto;Precio;Imagen
"ARROZ EL DIQUE ""0000"" 500 GR";$649,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ EL DIQUE 0000 500 GR.jpg
ARROZ CAÑUELAS LARGO FINO 500 GR;$799,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ CAÑUELAS LARGO FINO 500 GR.jpg
ARROZ ALA LARGO 500 GR;$799,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ ALA LARGO 500 GR.jpg
ARROZ MAROLIO DOBLE 500 GR;$879,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ MAROLIO DOBLE 500 GR.jpg
ARROZ MAROLIO PARBOLIZADO 500 GR;$879,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ MAROLIO PARBOLIZADO 500 GR.jpg
ARROZ MOLTO INTEGRAL 500 GR;$879,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ MOLTO INTEGRAL 500 GR.jpg
ARROZ MOLTO LARGO FINO 500 GR;$879,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ MOLTO LARGO FINO 500 GR.jpg
ARROZ ALA DORADO 500 GR;$979,89;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ ALA DORADO 500 GR.jpg
ARROZ LUCCHETTI PARBOIL 500 GR;$999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ LUCCHETTI PARBOIL 500 GR.jpg
ARROZ GALLO LARGO 500 GR;$999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ GALLO LARGO 500 GR.jpg
