Producto;Precio;Imagen
PAÑAL BABYSEC ULTRA REGULAR XX GRANDE 8 UN;$2.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\PAÑAL BABYSEC ULTRA REGULAR XX GRANDE 8 .jpg
PAÑAL BABYSEC ULTRA REGULAR CHICO 12 UN;$2.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\PAÑAL BABYSEC ULTRA REGULAR CHICO 12 UN.jpg
PAÑAL BABYSEC ULTRA REGULAR MEDIANO 8 UN;$2.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\PAÑAL BABYSEC ULTRA REGULAR MEDIANO 8 UN.jpg
PAÑAL BABYSEC ULTRA REGULAR X GRANDE 8 UN;$2.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\PAÑAL BABYSEC ULTRA REGULAR X GRANDE 8 U.jpg
OLEO CALCAREO ESTRELLA SIN FRAGANCIA 245 ML;$3.849,90;d:/python/scrapling/imagenes_productos_maxiconsumo\OLEO CALCAREO ESTRELLA SIN FRAGANCIA 245.jpg
OLEO CALCAREO ESTRELLA CON MANZANILLA 250 ml;$3.849,90;d:/python/scrapling/imagenes_productos_maxiconsumo\OLEO CALCAREO ESTRELLA CON MANZANILLA 25.jpg
OLEO LIMPIEZA ESTRELLA EXTRA VITAMINA 250 ML;$3.849,90;d:/python/scrapling/imagenes_productos_maxiconsumo\OLEO LIMPIEZA ESTRELLA EXTRA VITAMINA 25.jpg
OLEO LIMPIEZA ESTRELLA 500 ML;$5.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\OLEO LIMPIEZA ESTRELLA 500 ML.jpg
ACEITE JOHNSON'S NORMAL 100 CC;$5.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE JOHNSONS NORMAL 100 CC.jpg
ACEITE JOHNSON'S NORMAL 200 CC;$7.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE JOHNSONS NORMAL 200 CC.jpg
