Producto;Precio;Imagen
CHORIZO SWIFT DE CERDO 400 GR;$4.699,89;d:/python/scrapling/imagenes_productos_maxiconsumo\CHORIZO SWIFT DE CERDO 400 GR.jpg
QUEBRACHO COLORADO 10 KG;$7.799,89;d:/python/scrapling/imagenes_productos_maxiconsumo\QUEBRACHO COLORADO 10 KG.jpg
BONDIOLA DE CERDO INTERPORC PORCION 1 KG;$8.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\BONDIOLA DE CERDO INTERPORC PORCION 1 KG.jpg
OSOBUCO RODAJA AL VACIO 1 KG;$12.799,90;d:/python/scrapling/imagenes_productos_maxiconsumo\OSOBUCO RODAJA AL VACIO 1 KG.jpg
ASADO CARNES PLANCHA CONGELADA 1 KG;$12.849,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ASADO CARNES PLANCHA CONGELADA 1 KG.jpg
PICADA CARNES CONGELADA 1 KG;$13.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\PICADA CARNES CONGELADA 1 KG.jpg
PALETA TF AL VACIO 1 KG;$16.449,90;d:/python/scrapling/imagenes_productos_maxiconsumo\PALETA TF AL VACIO 1 KG.jpg
ROAD BEEF TF AL VACIO 1 KG;$16.449,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ROAD BEEF TF AL VACIO 1 KG.jpg
PALOMITA CARNES PORCION 1 KG;$16.999,89;d:/python/scrapling/imagenes_productos_maxiconsumo\PALOMITA CARNES PORCION 1 KG.jpg
TAPA NALGA AL VACIO 1 KG;$17.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\TAPA NALGA AL VACIO 1 KG.jpg
