Producto;Precio;Imagen
CEREAL NUTRIFOODS COPO MAIZ 150 gr;$1.279,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL NUTRIFOODS COPO MAIZ 150 gr.jpg
CEREAL MAROLIO ARITOS FRUTADOS 160 gr;$1.379,90;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO ARITOS FRUTADOS 160 gr.jpg
CEREAL NUTRIFOODS COPO AZUCAR 200 gr;$1.459,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL NUTRIFOODS COPO AZUCAR 200 gr.jpg
CEREAL LASFOR BOLITAS CHOCOLATADAS 160/180 GR;$1.499,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL LASFOR BOLITAS CHOCOLATADAS 16018.jpg
CEREAL MAROLIO REDONDITOS CHOCOLATE 210 gr;$1.499,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO REDONDITOS CHOCOLATE 210 .jpg
CEREAL MAROLIO ALMOHADITAS CHOCOLATE 180 gr;$1.699,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO ALMOHADITAS CHOCOLATE 180.jpg
CEREAL MAROLIO ALMOHADITAS FRUTILLA 180 gr;$1.699,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO ALMOHADITAS FRUTILLA 180 .jpg
SEMILLA GENSER MIX DESAYUNO 150 gr;$1.970,92;D:/python/scrapling/imagenes_productos_maxiconsumo\SEMILLA GENSER MIX DESAYUNO 150 gr.jpg
SEMILLA GENSER MIX ENSALADAS Y SOPAS 150 gr;$1.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SEMILLA GENSER MIX ENSALADAS Y SOPAS 150.jpg
CEREAL KELLOGGS FROOT LOOPS POUCH 195 GR;$2.899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL KELLOGGS FROOT LOOPS POUCH 195 GR.jpg
