Producto;Precio;Imagen
CERVEZA ZEUS 473 CC;$1.259,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA ZEUS 473 CC.jpg
CERVEZA QUILMES 0.0 SIN ALCOHOL 473 CC;$1.299,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA QUILMES 00 SIN ALCOHOL 473 CC.jpg
CERVEZA QUILMES LATA 473 CC;$1.699,91;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA QUILMES LATA 473 CC.jpg
CERVEZA ZEUS PET 1 LT;$1.799,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA ZEUS PET 1 LT.jpg
CERVEZA BUDWEISER LATA 473 CC;$1.799,91;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA BUDWEISER LATA 473 CC.jpg
CERVEZA ANDES ORIGEN RUBIA 473 CC;$2.299,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA ANDES ORIGEN RUBIA 473 CC.jpg
CERVEZA CORONA BOTELLA 330 CC;$2.799,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA CORONA BOTELLA 330 CC.jpg
CERVEZA BRAHMA LATA 710 CC;$2.899,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA BRAHMA LATA 710 CC.jpg
CERVEZA STELLA ARTOIS 473 CC;$2.949,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA STELLA ARTOIS 473 CC.jpg
CERVEZA BUDWEISER 710 CC;$2.999,89;d:/python/scrapling/imagenes_productos_maxiconsumo\CERVEZA BUDWEISER 710 CC.jpg
