Producto;Precio;Imagen
CHORIZO CAGNOLI DE CERDO 400 GR;$4.824,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CHORIZO CAGNOLI DE CERDO 400 GR.jpg
BONDIOLITAS CAGNOLI X 200 GR 2 UN;$5.399,89;d:/python/scrapling/imagenes_productos_maxiconsumo\BONDIOLITAS CAGNOLI X 200 GR 2 UN.jpg
SALAMIN CAGNOLI FUET 150 GR;$5.998,90;d:/python/scrapling/imagenes_productos_maxiconsumo\SALAMIN CAGNOLI FUET 150 GR.jpg
SALAMIN CAGNOLI PICADO FINO ATM 145 GR;$5.998,90;d:/python/scrapling/imagenes_productos_maxiconsumo\SALAMIN CAGNOLI PICADO FINO ATM 145 GR.jpg
BONDIOLA CAGNOLI CERDO CONGELADO 1 KG;$8.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\BONDIOLA CAGNOLI CERDO CONGELADO 1 KG.jpg
SALAME LA RESIDENCIA MILA 1/2 FINO 1 KG;$10.799,90;d:/python/scrapling/imagenes_productos_maxiconsumo\SALAME LA RESIDENCIA MILA 12 FINO 1 KG.jpg
SALAME 66 MILAN 1 KG;$11.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\SALAME 66 MILAN 1 KG.jpg
SALAME MAROLIO PAPEL 1 KG;$12.899,89;d:/python/scrapling/imagenes_productos_maxiconsumo\SALAME MAROLIO PAPEL 1 KG.jpg
SALAME MAROLIO MILAN 1/2 1 KG;$13.569,90;d:/python/scrapling/imagenes_productos_maxiconsumo\SALAME MAROLIO MILAN 12 1 KG.jpg
SALAME CHAMPION MILAN 1 KG;$15.819,89;d:/python/scrapling/imagenes_productos_maxiconsumo\SALAME CHAMPION MILAN 1 KG.jpg
