Producto;Precio;Imagen
DURAZNO MAROLIO MITAD 820 GR;$2.499,90;D:/python/scrapling/imagenes_productos_maxiconsumo\DURAZNO MAROLIO MITAD 820 GR.jpg
DURAZNO MOLTO MITADES 820 GR;$3.399,89;D:/python/scrapling/imagenes_productos_maxiconsumo\DURAZNO MOLTO MITADES 820 GR.jpg
COCTEL DE FRUTAS MOLTO 4 FRUTAS 820 GR;$3.499,90;D:/python/scrapling/imagenes_productos_maxiconsumo\COCTEL DE FRUTAS MOLTO 4 FRUTAS 820 GR.jpg
ANANA MAROLIO RODAJA 565 GR;$3.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MAROLIO RODAJA 565 GR.jpg
ANANA MOLTO RODAJA 565 GR;$4.349,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MOLTO RODAJA 565 GR.jpg
ANANA CARACAS 836 GR;$4.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA CARACAS 836 GR.jpg
ANANA MAROLIO TROZO 850 GR;$5.169,89;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MAROLIO TROZO 850 GR.jpg
ANANA MAROLIO RODAJA 825 GR;$5.449,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MAROLIO RODAJA 825 GR.jpg
ANANA GENTLEMAN 850 GR;$5.799,89;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA GENTLEMAN 850 GR.jpg
ANANA MOLTO RODAJA 850 GR;$5.899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MOLTO RODAJA 850 GR.jpg
