Producto;Precio;Imagen
GASEOSA COCA COLA ZERO 600 CC;$1.566,41;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA COCA COLA ZERO 600 CC.jpg
GASEOSA SPRITE LATA 354 CC;$1.599,89;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA SPRITE LATA 354 CC.jpg
GASEOSA FANTA NARANJA ZERO 354 CC;$1.599,90;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA FANTA NARANJA ZERO 354 CC.jpg
GASEOSA FANTA NARANJA 600 CC;$1.649,90;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA FANTA NARANJA 600 CC.jpg
GASEOSA COCA COLA ZERO 354 CC;$1.649,90;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA COCA COLA ZERO 354 CC.jpg
GASEOSA CUNNINGTON CLASICA LIMA LIMON 2.25 LT;$1.849,90;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA CUNNINGTON CLASICA LIMA LIMON 22.jpg
GASEOSA CUNNINGTON CLASICA COLA 2.25 LT;$1.849,91;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA CUNNINGTON CLASICA COLA 225 LT.jpg
GASEOSA CUNNINGTON CLASICA POMELO 2.25 LT;$1.849,91;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA CUNNINGTON CLASICA POMELO 225 LT.jpg
GASEOSA CUNNINGTON CLASICA TONICA 2.25 LT;$1.849,91;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA CUNNINGTON CLASICA TONICA 225 LT.jpg
GASEOSA CUNNINGTON CLASICA NARANJA 2.25 LT;$1.849,91;d:/python/scrapling/imagenes_productos_maxiconsumo\GASEOSA CUNNINGTON CLASICA NARANJA 225 L.jpg
