Producto;Precio;Imagen
MEDALLON PATY EXPRESS 2X55 GR;$2.219,90;d:/python/scrapling/imagenes_productos_maxiconsumo\MEDALLON PATY EXPRESS 2X55 GR.jpg
MEDALLONES CHAMPION ESTUCHE 4 UN;$2.389,90;d:/python/scrapling/imagenes_productos_maxiconsumo\MEDALLONES CHAMPION ESTUCHE 4 UN.jpg
HAMBURGUESA UNION GANADERA FINITAS 2 UN;$2.399,90;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA UNION GANADERA FINITAS 2 UN.jpg
HAMBURGUESA PATY FINITA 2 UN;$3.154,89;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA PATY FINITA 2 UN.jpg
HAMBURGUESA PATY CLASICA FLOW 2 UN;$4.499,89;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA PATY CLASICA FLOW 2 UN.jpg
HAMBURGUESA PATY DE CANCHA 2X125 GR;$6.779,90;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA PATY DE CANCHA 2X125 GR.jpg
HAMBURGUESA UNION GANADERA CLASICA 4 UN;$8.979,89;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA UNION GANADERA CLASICA 4 UN.jpg
HAMBURGUESA MAROLIO 12 UN;$14.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA MAROLIO 12 UN.jpg
HAMBURGUESA PATY X 12 UN 80 GR;$22.599,90;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA PATY X 12 UN 80 GR.jpg
HAMBURGUESA MAROLIO 20 UN;$24.899,90;d:/python/scrapling/imagenes_productos_maxiconsumo\HAMBURGUESA MAROLIO 20 UN.jpg
