Producto;Precio;Imagen
JUGO MAROLIO NARANJA 20 GR;$189,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO MAROLIO NARANJA 20 GR_2.jpg
JUGO NOEL MULTIFRUTA 16 GR;$279,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO NOEL MULTIFRUTA 16 GR_3.jpg
JUGO NOEL MANZANA 16 GR;$279,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO NOEL MANZANA 16 GR_4.jpg
JUGO NOEL NARANJA 16 GR;$279,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO NOEL NARANJA 16 GR_5.jpg
JUGO LA CAMPAGNOLA BC NARANJA 9,2 GR;$279,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO LA CAMPAGNOLA BC NARANJA 92 GR_6.jpg
JUGO LA CAMPAGNOLA BC MANZANA ROJA 8 GR;$279,90;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO LA CAMPAGNOLA BC MANZANA ROJA 8 GR_7.jpg
JUGO ARCOR MANGO NARANJA 15 GR;$289,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO ARCOR MANGO NARANJA 15 GR_8.jpg
JUGO ARCOR ANANA 15 GR;$289,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO ARCOR ANANA 15 GR_9.jpg
JUGO ARCOR NARANJA DULCE 15 GR;$289,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO ARCOR NARANJA DULCE 15 GR_10.jpg
JUGO ARCOR MULTIFRUTA 15 GR;$289,89;d:/python/scrapling/maxiconsumo/imagenes_productos_maxiconsumo\JUGO ARCOR MULTIFRUTA 15 GR_11.jpg
