Producto;Precio;Imagen
LECHE NIDO 3 200 ml;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE NIDO 3 200 ml.jpg
LECHE NESTLE NIDINA 1 200 ml;$1.499,89;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE NESTLE NIDINA 1 200 ml.jpg
LECHE NESTLE NIDINA 2 200 ml;$1.499,89;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE NESTLE NIDINA 2 200 ml.jpg
LECHE ANGELITA LARGA VIDA LIVIANA 1 LT;$1.759,90;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE ANGELITA LARGA VIDA LIVIANA 1 LT.jpg
LECHE ARMONIA SACHET 2% 1 LT;$1.779,90;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE ARMONIA SACHET 2 1 LT.jpg
LECHE ARMONIA SACHET 1% 1 LT;$1.779,90;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE ARMONIA SACHET 1 1 LT.jpg
LECHE LA SERENISIMA LIVIANA 1% SACHET 1 LT;$1.849,90;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE LA SERENISIMA LIVIANA 1 SACHET 1 L.jpg
LECHE LA SERENISIMA CLASICA 3% 1 LT;$1.849,90;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE LA SERENISIMA CLASICA 3 1 LT.jpg
LECHE SANCOR BEBE ADVANCE 1 200 ML;$1.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\LECHE SANCOR BEBE ADVANCE 1 200 ML.jpg
CREMA LA PAULINA 350 CC;$3.419,90;d:/python/scrapling/imagenes_productos_maxiconsumo\CREMA LA PAULINA 350 CC.jpg
