Producto;Precio;Imagen
ACEITE MAROLIO MEZCLA 900 CC;$2.099,89;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE MAROLIO MEZCLA 900 CC_0.jpg
ACEITE COCINERO MEZCLA 900 CC;$2.499,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE COCINERO MEZCLA 900 CC_1.jpg
ACEITE MAROLIO GIRASOL 900 CC;$2.699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE MAROLIO GIRASOL 900 CC_2.jpg
ACEITE MOLTO GIRASOL 900 CC;$2.699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE MOLTO GIRASOL 900 CC_3.jpg
ACEITE LEGITIMO GIRASOL 900 CC;$2.899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE LEGITIMO GIRASOL 900 CC_4.jpg
ACEITE MOLTO GIRASOL AEROSOL 120 CC;$2.899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE MOLTO GIRASOL AEROSOL 120 CC_5.jpg
ACEITE MOLTO MANTECA AEROSOL 120 CC;$2.899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE MOLTO MANTECA AEROSOL 120 CC_6.jpg
ACEITE FRITOLIM AERO CLASIC 120 cc;$2.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE FRITOLIM AERO CLASIC 120 cc_7.jpg
ACEITE CANUELAS GIRASOL 900 CC;$2.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE CANUELAS GIRASOL 900 CC_8.jpg
ACEITE COCINERO GIRASOL 900 CC;$2.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ACEITE COCINERO GIRASOL 900 CC_9.jpg
