Producto;Precio;Imagen
MAYONESA MAROLIO DOYPACK 241 GR;$619,90;D:/python/scrapling/imagenes_productos_maxiconsumo\MAYONESA MAROLIO DOYPACK 241 GR_0.jpg
MOSTAZA FANACOA DOYPACK 250 GR;$799,89;D:/python/scrapling/imagenes_productos_maxiconsumo\MOSTAZA FANACOA DOYPACK 250 GR_1.jpg
SALSA GOLF NATURA 125 CC;$869,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SALSA GOLF NATURA 125 CC_2.jpg
MOSTAZA NATURA DOYPACK 250 CC;$939,89;D:/python/scrapling/imagenes_productos_maxiconsumo\MOSTAZA NATURA DOYPACK 250 CC_3.jpg
SALSA MAROLIO INGLESA 280 GR;$1.049,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SALSA MAROLIO INGLESA 280 GR_4.jpg
CHIMICHURRI MAROLIO CLASICO 285 GR;$1.049,90;D:/python/scrapling/imagenes_productos_maxiconsumo\CHIMICHURRI MAROLIO CLASICO 285 GR_5.jpg
CHIMICHURRI MAROLIO PICANTE 285 GR;$1.049,90;D:/python/scrapling/imagenes_productos_maxiconsumo\CHIMICHURRI MAROLIO PICANTE 285 GR_6.jpg
CHIMICHURRI MAROLIO AHUMADO 285 GR;$1.049,90;D:/python/scrapling/imagenes_productos_maxiconsumo\CHIMICHURRI MAROLIO AHUMADO 285 GR_7.jpg
SALSA MAROLIO SOJA 280 GR;$1.049,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SALSA MAROLIO SOJA 280 GR_8.jpg
SALSA MAROLIO CRIOLLA 280 GR;$1.049,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SALSA MAROLIO CRIOLLA 280 GR_9.jpg
