Producto;Precio;Imagen
"ARROZ EL DIQUE ""0000"" 500 GR";$499,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ EL DIQUE 0000 500 GR_0.jpg
ARROZ CAÑUELAS LARGO FINO 500 GR;$589,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ CAÑUELAS LARGO FINO 500 GR_1.jpg
ARROZ MOLTO INTEGRAL 500 GR;$619,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ MOLTO INTEGRAL 500 GR_2.jpg
ARROZ MOLTO LARGO FINO 500 GR;$619,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ MOLTO LARGO FINO 500 GR_3.jpg
ARROZ ALA DORADO 500 GR;$749,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ ALA DORADO 500 GR_4.jpg
ARROZ LUCCHETTI LARGO FINO 500 GR;$749,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ LUCCHETTI LARGO FINO 500 GR_5.jpg
ARROZ LUCCHETTI PARBOIL 500 GR;$888,89;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ LUCCHETTI PARBOIL 500 GR_6.jpg
ARROZ GALLO LARGO 500 GR;$899,89;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ GALLO LARGO 500 GR_7.jpg
"ARROZ EL DIQUE ""0000"" 1 KG";$899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ EL DIQUE 0000 1 KG_8.jpg
ARROZ MAROLIO DOBLE 500 GR;$989,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ARROZ MAROLIO DOBLE 500 GR_9.jpg
