Producto;Precio;Imagen
CEREAL NUTRIFOODS COPO MAIZ 150 gr;$1.279,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL NUTRIFOODS COPO MAIZ 150 gr_0.jpg
CEREAL MAROLIO ARITOS FRUTADOS 160 gr;$1.379,90;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO ARITOS FRUTADOS 160 gr_1.jpg
CEREAL NUTRIFOODS COPO AZUCAR 200 gr;$1.459,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL NUTRIFOODS COPO AZUCAR 200 gr_2.jpg
CEREAL MAROLIO REDONDITOS CHOCOLATE 210 gr;$1.499,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO REDONDITOS CHOCOLATE 210 _3.jpg
CEREAL MAROLIO ALMOHADITAS CHOCOLATE 180 gr;$1.699,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO ALMOHADITAS CHOCOLATE 180_4.jpg
CEREAL MAROLIO ALMOHADITAS FRUTILLA 180 gr;$1.699,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL MAROLIO ALMOHADITAS FRUTILLA 180 _5.jpg
SEMILLA GENSER MIX DESAYUNO 150 gr;$1.970,92;D:/python/scrapling/imagenes_productos_maxiconsumo\SEMILLA GENSER MIX DESAYUNO 150 gr_6.jpg
SEMILLA GENSER MIX ENSALADAS Y SOPAS 150 gr;$1.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SEMILLA GENSER MIX ENSALADAS Y SOPAS 150_7.jpg
CEREAL NESQUIK FUENTE CALCIO 210 230 GR;$4.999,89;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL NESQUIK FUENTE CALCIO 210 230 GR_8.jpg
CEREAL NESTLE GLANOLA 300 GR;No disponible;D:/python/scrapling/imagenes_productos_maxiconsumo\CEREAL NESTLE GLANOLA 300 GR_9.jpg
