Producto;Precio;Imagen
DURAZNO MAROLIO TROZO TETRA RECART 200 GR;$1.099,90;D:/python/scrapling/imagenes_productos_maxiconsumo\DURAZNO MAROLIO TROZO TETRA RECART 200 G_0.jpg
DURAZNO MAROLIO MITAD 820 GR;$2.099,89;D:/python/scrapling/imagenes_productos_maxiconsumo\DURAZNO MAROLIO MITAD 820 GR_1.jpg
DURAZNO MOLTO MITADES 820 GR;$2.399,90;D:/python/scrapling/imagenes_productos_maxiconsumo\DURAZNO MOLTO MITADES 820 GR_2.jpg
COCTEL DE FRUTAS MAROLIO 820 GR;$2.699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\COCTEL DE FRUTAS MAROLIO 820 GR_3.jpg
COCTEL DE FRUTAS MOLTO 4 FRUTAS 820 GR;$2.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\COCTEL DE FRUTAS MOLTO 4 FRUTAS 820 GR_4.jpg
ANANA MAROLIO RODAJA 565 GR;$3.299,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MAROLIO RODAJA 565 GR_5.jpg
ANANA MOLTO RODAJA 565 GR;$3.699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MOLTO RODAJA 565 GR_6.jpg
ANANA MAROLIO RODAJA 825 GR;$4.199,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MAROLIO RODAJA 825 GR_7.jpg
ANANA MAROLIO TROZO 850 GR;$4.249,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MAROLIO TROZO 850 GR_8.jpg
ANANA MOLTO RODAJA 850 GR;$4.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\ANANA MOLTO RODAJA 850 GR_9.jpg
