Producto;Precio;Imagen
PASTAFROLA AIRES DE LUJAN MEMBRILLO 40 GR;$279,90;D:/python/scrapling/imagenes_productos_maxiconsumo\PASTAFROLA AIRES DE LUJAN MEMBRILLO 40 G_0.jpg
GALLETITAS POLVORITA VAINILLA 80 GR;$459,90;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS POLVORITA VAINILLA 80 GR_1.jpg
GALLETITAS POLVORITA CHOCOLATE VAINILLA 81 GR;$459,90;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS POLVORITA CHOCOLATE VAINILLA _2.jpg
GALLETITAS POLVORITA VAINILLA FRUTILLA 80 GR;$459,90;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS POLVORITA VAINILLA FRUTILLA 8_3.jpg
GALLETITAS MAROLIO PEPAS 180 GR;$499,90;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS MAROLIO PEPAS 180 GR_4.jpg
GALLETITAS VOCACION ACARAMELADA FORTIFICADA 150 GR;$599,91;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS VOCACION ACARAMELADA FORTIFIC_5.jpg
OBLEA MAROLIO LIMON 100 GR;$629,90;D:/python/scrapling/imagenes_productos_maxiconsumo\OBLEA MAROLIO LIMON 100 GR_6.jpg
OBLEA MAROLIO FRUTILLA 100 GR;$629,90;D:/python/scrapling/imagenes_productos_maxiconsumo\OBLEA MAROLIO FRUTILLA 100 GR_7.jpg
GALLETITAS OPERA 55 GR;$649,89;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS OPERA 55 GR_8.jpg
GALLETITAS VOCACION CLASICA 141 GR;$699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS VOCACION CLASICA 141 GR_9.jpg
