Producto;Precio;Imagen
HARINA DE MAIZ MAROLIO 500 GR;$599,91;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA DE MAIZ MAROLIO 500 GR_0.jpg
POLENTA MAROLIO 500 GR;$699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA MAROLIO 500 GR_1.jpg
POLENTA MAROLIO 750 gr;$999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA MAROLIO 750 gr_2.jpg
HARINA DE MAIZ MAROLIO MAIZ 1 KG;$1.099,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA DE MAIZ MAROLIO MAIZ 1 KG_3.jpg
POLENTA PRESTOPRONTA ESPINACA 250 gr;$1.149,90;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA PRESTOPRONTA ESPINACA 250 gr_4.jpg
POLENTA PRESTOPRONTA PANCETA Y QUESO 250 gr;$1.149,90;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA PRESTOPRONTA PANCETA Y QUESO 250_5.jpg
POLENTA PRESTOPRONTA 490 GR;$1.199,90;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA PRESTOPRONTA 490 GR_6.jpg
POLENTA PRESTOPRONTA 730 GR;$1.549,90;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA PRESTOPRONTA 730 GR_7.jpg
POLENTA MAGICA 500 GR;No disponible;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA MAGICA 500 GR_8.jpg
POLENTA NOEL 500 gr;No disponible;D:/python/scrapling/imagenes_productos_maxiconsumo\POLENTA NOEL 500 gr_9.jpg
