Producto;Precio;Imagen
"HARINA MAROLIO ""000"" 1 KG";$649,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA MAROLIO 000 1 KG_0.jpg
"HARINA CANUELAS ""000"" 1 KG";$689,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA CANUELAS 000 1 KG_1.jpg
"HARINA MAROLIO ""0000"" 1 KG";$849,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA MAROLIO 0000 1 KG_2.jpg
HARINA MAROLIO LEUDANTE 1 KG;$999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA MAROLIO LEUDANTE 1 KG_3.jpg
"HARINA PUREZA ""0000"" 1 KG";$1.049,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA PUREZA 0000 1 KG_4.jpg
"HARINA FAVORITA ""0000"" 1 KG";$1.099,89;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA FAVORITA 0000 1 KG_5.jpg
HARINA PUREZA INTEGRAL 1 KG;$1.299,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA PUREZA INTEGRAL 1 KG_6.jpg
HARINA PUREZA PIZZAS CASERAS 1 KG;$1.449,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA PUREZA PIZZAS CASERAS 1 KG_7.jpg
HARINA BLANCAFLOR LEUDANTE 1 KG;$1.499,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA BLANCAFLOR LEUDANTE 1 KG_8.jpg
HARINA BLANCAFLOR INTEGRAL 1 KG;$1.499,90;D:/python/scrapling/imagenes_productos_maxiconsumo\HARINA BLANCAFLOR INTEGRAL 1 KG_9.jpg
