Producto;Precio;Imagen
SAL DOS ESTRELLAS FINA 500 gr;$479,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL DOS ESTRELLAS FINA 500 gr_0.jpg
SAL MAROLIO FINA PAQUETE 500 GR;$649,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL MAROLIO FINA PAQUETE 500 GR_1.jpg
SAL MAROLIO FINA ESTUCHE 500 GR;$649,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL MAROLIO FINA ESTUCHE 500 GR_2.jpg
SAL COLOSAL ENTREFINA DOYPACK 500 GR;$699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL COLOSAL ENTREFINA DOYPACK 500 GR_3.jpg
SAL COLOSAL GRUESA DOYPACK 500 GR;$699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL COLOSAL GRUESA DOYPACK 500 GR_4.jpg
SAL EL DIQUE GRUESA 1 KG;$699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL EL DIQUE GRUESA 1 KG_5.jpg
SAL COLOSAL FINA DOYPACK 250 GR;$729,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL COLOSAL FINA DOYPACK 250 GR_6.jpg
SAL EL DIQUE ENTREFINA 1 KG;$849,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL EL DIQUE ENTREFINA 1 KG_9.jpg
SAL CELUSAL FINA PAQUETE 500 GR;$849,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL CELUSAL FINA PAQUETE 500 GR_10.jpg
SAL CELUSAL FINA ESTUCHE 500 GR;$849,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL CELUSAL FINA ESTUCHE 500 GR_11.jpg
