Producto;Precio;Imagen
VINAGRE MAROLIO ALCOHOL 500 CC;$899,89;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MAROLIO ALCOHOL 500 CC_0.jpg
VINAGRE MOLTO ALCOHOL 500 CC;$899,89;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MOLTO ALCOHOL 500 CC_1.jpg
VINAGRE MAROLIO VINO 500 CC;$1.079,89;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MAROLIO VINO 500 CC_2.jpg
VINAGRE MAROLIO ALCOHOL 1 LT;$1.149,90;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MAROLIO ALCOHOL 1 LT_3.jpg
VINAGRE MOLTO ALCOHOL 1 LT;$1.149,90;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MOLTO ALCOHOL 1 LT_4.jpg
VINAGRE DOS ANCLAS ALCOHOL 1 LT;$1.299,89;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE DOS ANCLAS ALCOHOL 1 LT_5.jpg
VINAGRE MAROLIO MANZANA 500 CC;$1.349,90;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MAROLIO MANZANA 500 CC_6.jpg
VINAGRE MOLTO MANZANA 500 CC;$1.399,90;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MOLTO MANZANA 500 CC_7.jpg
VINAGRE MAROLIO VINO 1 LT;$1.549,89;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MAROLIO VINO 1 LT_8.jpg
VINAGRE MAROLIO MANZANA 1 LT;$2.059,89;D:/python/scrapling/imagenes_productos_maxiconsumo\VINAGRE MAROLIO MANZANA 1 LT_9.jpg
