Producto;Precio;Imagen
QUESO SANTA ROSA AZUL PORCION 140 gr;$5.299,90;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO SANTA ROSA AZUL PORCION 140 gr.jpg
QUESO SAINT PAUL CREMOSO 1 KG;$8.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO SAINT PAUL CREMOSO 1 KG.jpg
QUESO SPALEN BARRA TYBO 1 KG;$8.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO SPALEN BARRA TYBO 1 KG.jpg
QUESO PUYEHUE BARRA 1 KG;$9.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO PUYEHUE BARRA 1 KG.jpg
QUESO MAROLIO BARRA 1 KG;$9.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO MAROLIO BARRA 1 KG.jpg
MUZZARELLA MAROLIO 1/4 HORMA 1 KG;$10.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\MUZZARELLA MAROLIO 14 HORMA 1 KG.jpg
QUESO LA PAULINA BARRA PRATO 1 KG;$11.989,90;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO LA PAULINA BARRA PRATO 1 KG.jpg
QUESO LA PAULINA BARRA SANDWICH 1 KG;$11.989,90;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO LA PAULINA BARRA SANDWICH 1 KG.jpg
QUESO BARRAZA BARRA TYBO 1 kg;$12.249,89;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO BARRAZA BARRA TYBO 1 kg.jpg
QUESO LA QUESERA AZUL MITAD 1 KG;$18.399,89;d:/python/scrapling/imagenes_productos_maxiconsumo\QUESO LA QUESERA AZUL MITAD 1 KG.jpg
