Producto;Precio;Imagen
SAL EL DIQUE FINA 500 GR;$549,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL EL DIQUE FINA 500 GR.jpg
SAL DOS ESTRELLAS FINA 500 gr;$599,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL DOS ESTRELLAS FINA 500 gr.jpg
SAL MAROLIO FINA PAQUETE 500 GR;$649,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL MAROLIO FINA PAQUETE 500 GR.jpg
SAL MAROLIO FINA ESTUCHE 500 GR;$649,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL MAROLIO FINA ESTUCHE 500 GR.jpg
SAL COLOSAL GRUESA DOYPACK 500 GR;$779,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL COLOSAL GRUESA DOYPACK 500 GR.jpg
SAL COLOSAL ENTREFINA DOYPACK 500 GR;$799,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL COLOSAL ENTREFINA DOYPACK 500 GR.jpg
SAL DOS ANCLAS FINA PAQUETE 500 GR;$949,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL DOS ANCLAS FINA PAQUETE 500 GR.jpg
SAL DOS ANCLAS GRUESA ESTUCHE 500 GR;$999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL DOS ANCLAS GRUESA ESTUCHE 500 GR.jpg
SAL EL DIQUE ENTREFINA 1 KG;$999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL EL DIQUE ENTREFINA 1 KG.jpg
SAL CELUSAL ENTREFINA P 500 gr;$999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SAL CELUSAL ENTREFINA P 500 gr.jpg
