Producto;Precio;Imagen
GALLETITAS HOJALMAR SNACK MATERO SALADO 180 GR;$1.399,90;D:/python/scrapling/imagenes_productos_maxiconsumo\GALLETITAS HOJALMAR SNACK MATERO SALADO .jpg
SEMILLAS DE GIRASOL PIPAS GIGANTES 160/180 GR;$2.149,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SEMILLAS DE GIRASOL PIPAS GIGANTES 16018.jpg
SEMILLAS GIRASOL PIPAS SKINNY 160 GR;$2.149,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SEMILLAS GIRASOL PIPAS SKINNY 160 GR.jpg
SEMILLAS DE GIRASOL PIPAS PELADAS SALADAS 180 GR;$2.149,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SEMILLAS DE GIRASOL PIPAS PELADAS SALADA.jpg
MAICITOS PEHUAMAR 125 GR;$2.899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\MAICITOS PEHUAMAR 125 GR.jpg
SNACK DORITOS QUESO 77 GR;$3.199,89;D:/python/scrapling/imagenes_productos_maxiconsumo\SNACK DORITOS QUESO 77 GR.jpg
SNACK MAICITOS PEHUAMAR 265 GR;$3.999,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SNACK MAICITOS PEHUAMAR 265 GR.jpg
PALITOS MAROLIO QUESO 350 GR;$4.199,90;D:/python/scrapling/imagenes_productos_maxiconsumo\PALITOS MAROLIO QUESO 350 GR.jpg
SNACK DORITOS QUESO 129 GR;$4.899,90;D:/python/scrapling/imagenes_productos_maxiconsumo\SNACK DORITOS QUESO 129 GR.jpg
CONO KRACHITOS QUESO 240 GR;$5.699,90;D:/python/scrapling/imagenes_productos_maxiconsumo\CONO KRACHITOS QUESO 240 GR.jpg
