Producto;Precio;Imagen
Vinagre De Alcohol 1lts Cuisine & Co;$1.490;D:/python/scrapling/imagenes_productos_vea\Vinagre De Alcohol 1lts Cuisine  Co_10.jpg
Vinagre De Alcohol Favinco Sin Tacc X 1lt;$1.550;D:/python/scrapling/imagenes_productos_vea\Vinagre De Alcohol Favinco Sin Tacc X 1l_11.jpg
Vinagre De Alcohol Clasico Botella 1 Lt.;$1.700;D:/python/scrapling/imagenes_productos_vea\Vinagre De Alcohol Clasico Botella 1 Lt_8.jpg
Vinagre De Alcohol Menoyo 1 L;$1.700;D:/python/scrapling/imagenes_productos_vea\Vinagre De Alcohol Menoyo 1 L_13.jpg
Vinagre De Alcohol Dos Anclas 1 L;$1.750;D:/python/scrapling/imagenes_productos_vea\Vinagre De Alcohol Dos Anclas 1 L_14.jpg
Vinagre De Manzana 500 Grs Cuisine & Co;$2.340;D:/python/scrapling/imagenes_productos_vea\Vinagre De Manzana 500 Grs Cuisine  Co_19.jpg
Aceite Girasol Legitimo 900 Ml;$2.850;D:/python/scrapling/imagenes_productos_vea\Aceite Girasol Legitimo 900 Ml_1.jpg
Aceite De Girasol Cañuelas 900 Ml;$2.990;D:/python/scrapling/imagenes_productos_vea\Aceite De Girasol Cañuelas 900 Ml_7.jpg
Jugo De Limón Minerva 500 Ml;$3.300;D:/python/scrapling/imagenes_productos_vea\Jugo De Limón Minerva 500 Ml_16.jpg
Aceite Alsamar Girasol X900ml;$3.350;D:/python/scrapling/imagenes_productos_vea\Aceite Alsamar Girasol X900ml_2.jpg
