Producto;Precio;Imagen
Agua Cellier Sin Gas 2lt;$1.159;D:/python/scrapling/imagenes_productos_vea\Agua Cellier Sin Gas 2lt_8.jpg
Agua Nestle Pureza Vital 1.5lt;$1.270,8;D:/python/scrapling/imagenes_productos_vea\Agua Nestle Pureza Vital 15lt_18.jpg
Agua Villa Del Sur Pet Sin Gas 2250 Ml;$1.380;D:/python/scrapling/imagenes_productos_vea\Agua Villa Del Sur Pet Sin Gas 2250 Ml_3.jpg
Soda 2.25 Lts Cuisine & Co;$1.590;D:/python/scrapling/imagenes_productos_vea\Soda 225 Lts Cuisine  Co_6.jpg
Soda Sierra De Los Padres 1.75lt;$1.667;D:/python/scrapling/imagenes_productos_vea\Soda Sierra De Los Padres 175lt_17.jpg
Agua Sin Gas Villavicencio 2 L;$1.710;D:/python/scrapling/imagenes_productos_vea\Agua Sin Gas Villavicencio 2 L_4.jpg
Agua Mineral Eco De Los Andes Sin Gas 2 L;$1.750,8;D:/python/scrapling/imagenes_productos_vea\Agua Mineral Eco De Los Andes Sin Gas 2 _12.jpg
Saborizada Levite Pomelo 2.25lt;$1.860;D:/python/scrapling/imagenes_productos_vea\Saborizada Levite Pomelo 225lt_1.jpg
Saborizada Levite Manzana 2.25lt;$1.860;D:/python/scrapling/imagenes_productos_vea\Saborizada Levite Manzana 225lt_5.jpg
Saborizada Levite Naranja 2.25lt;$1.860;D:/python/scrapling/imagenes_productos_vea\Saborizada Levite Naranja 225lt_7.jpg
