Producto;Precio;Imagen
Café Suave y Espumoso Más Aroma 50 Grs Arlistan;$3.890;D:/python/scrapling/imagenes_productos_vea\Café Suave y Espumoso Más Aroma 50 Grs A_10.jpg
Café Torrado Tostado con Azúcar 100 Grs x 20 Un La Morenita;$5.290;D:/python/scrapling/imagenes_productos_vea\Café Torrado Tostado con Azúcar 100 Grs _15.jpg
Café Suave y Espumoso 170 Grs Arlistan;$5.990;D:/python/scrapling/imagenes_productos_vea\Café Suave y Espumoso 170 Grs Arlistan_1.jpg
Café Instantáneo Suave Espuma 170 Grs La Virginia;$6.990;D:/python/scrapling/imagenes_productos_vea\Café Instantáneo Suave Espuma 170 Grs La_16.jpg
Café Instantáneo Clásico 100 Grs Cruzeiro;$7.890;D:/python/scrapling/imagenes_productos_vea\Café Instantáneo Clásico 100 Grs Cruzeir_4.jpg
Café Tradición Doypack 100 Grs Nescafé®;$8.190;D:/python/scrapling/imagenes_productos_vea\Café Tradición Doypack 100 Grs Nescafé_5.jpg
Café Molido Torrado Equilibrado 250 Grs La Virginia;$8.190;D:/python/scrapling/imagenes_productos_vea\Café Molido Torrado Equilibrado 250 Grs _14.jpg
Café Instantáneo Clásico Espuma 170 Grs La Virginia;$8.490;D:/python/scrapling/imagenes_productos_vea\Café Instantáneo Clásico Espuma 170 Grs _8.jpg
Café Suave 170 Grs Dolca;$10.390;D:/python/scrapling/imagenes_productos_vea\Café Suave 170 Grs Dolca_0.jpg
Café Tostado Molido Puro 190 Grs Nescafé®;$10.890;D:/python/scrapling/imagenes_productos_vea\Café Tostado Molido Puro 190 Grs Nescafé_17.jpg
