Producto;Precio;Imagen
Espinazo;$4.215;D:/python/scrapling/imagenes_productos_vea\Espinazo_17.jpg
Falda;$7.905;D:/python/scrapling/imagenes_productos_vea\Falda_12.jpg
Azotillo;$8.899;D:/python/scrapling/imagenes_productos_vea\Azotillo_13.jpg
Carne Vacuna Picada Común La Hacienda;$9.169;D:/python/scrapling/imagenes_productos_vea\Carne Vacuna Picada Común La Hacienda_0.jpg
Osobuco Vacuno La Hacienda;$9.705;D:/python/scrapling/imagenes_productos_vea\Osobuco Vacuno La Hacienda_6.jpg
Carnaza Comun La Hacienda;$9.749;D:/python/scrapling/imagenes_productos_vea\Carnaza Comun La Hacienda_8.jpg
Tapa De Bife Novillito Ev Al Vacio;$11.549;D:/python/scrapling/imagenes_productos_vea\Tapa De Bife Novillito Ev Al Vacio_15.jpg
Manta Vacuna La Hacienda;$12.475;D:/python/scrapling/imagenes_productos_vea\Manta Vacuna La Hacienda_9.jpg
Carne Vacuna Picada Especial La Hacienda;$15.265;D:/python/scrapling/imagenes_productos_vea\Carne Vacuna Picada Especial La Hacienda_3.jpg
Roast Beef Churrasco;$15.599;D:/python/scrapling/imagenes_productos_vea\Roast Beef Churrasco_7.jpg
