Producto;Precio;Imagen
Cerveza Brahma Chopp Lata 354mlx1;$800;D:/python/scrapling/imagenes_productos_vea\Cerveza Brahma Chopp Lata 354mlx1_16.jpg
Cerveza Sin Alcohol 330 Cc Corona;$1.700;D:/python/scrapling/imagenes_productos_vea\Cerveza Sin Alcohol 330 Cc Corona_13.jpg
Cerveza Stella Artois Sin Alcohol 330 Ml;$1.800;D:/python/scrapling/imagenes_productos_vea\Cerveza Stella Artois Sin Alcohol 330 Ml_18.jpg
Cerveza Stella Artois Botella No Retornable 330mlx1;$1.850;D:/python/scrapling/imagenes_productos_vea\Cerveza Stella Artois Botella No Retorna_8.jpg
Cerveza Heineken 473 Ml;$2.275;D:/python/scrapling/imagenes_productos_vea\Cerveza Heineken 473 Ml_2.jpg
Cerveza Rubia 473 Ml Schneider;$2.300;D:/python/scrapling/imagenes_productos_vea\Cerveza Rubia 473 Ml Schneider_12.jpg
Cerveza Heineken 330 Ml;$2.437,5;D:/python/scrapling/imagenes_productos_vea\Cerveza Heineken 330 Ml_15.jpg
Cerveza Quilmes Clasica 710cc;$2.550;D:/python/scrapling/imagenes_productos_vea\Cerveza Quilmes Clasica 710cc_5.jpg
Cerveza Quilmes Bajo Cero 1lt Ret.;$2.625;D:/python/scrapling/imagenes_productos_vea\Cerveza Quilmes Bajo Cero 1lt Ret_10.jpg
Cerveza Rubia 330ml Corona;$2.632,5;D:/python/scrapling/imagenes_productos_vea\Cerveza Rubia 330ml Corona_4.jpg
