Producto;Precio;Imagen
Salame Bocatti Feteado 70 Gr;$3.297;D:/python/scrapling/imagenes_productos_vea\Salame Bocatti Feteado 70 Gr_18.jpg
Salame Fuet Doina 150 Gr;$3.900;D:/python/scrapling/imagenes_productos_vea\Salame Fuet Doina 150 Gr_14.jpg
Mortadela Paladini Familiar 300 Gr;$5.115;D:/python/scrapling/imagenes_productos_vea\Mortadela Paladini Familiar 300 Gr_17.jpg
Jamón Cocido Linea Permi Paladini X 150 Gr;$5.400;D:/python/scrapling/imagenes_productos_vea\Jamón Cocido Linea Permi Paladini X 150 _2.jpg
Salame Bocatti Feteado 100 Gr;$5.606;D:/python/scrapling/imagenes_productos_vea\Salame Bocatti Feteado 100 Gr_3.jpg
Jamón Cocido Bocatti Feteado 130 Gr;$6.625;D:/python/scrapling/imagenes_productos_vea\Jamón Cocido Bocatti Feteado 130 Gr_0.jpg
Jamon Paladini Cocido Fetas Finas X 200 Gr;$7.600;D:/python/scrapling/imagenes_productos_vea\Jamon Paladini Cocido Fetas Finas X 200 _1.jpg
Fiambre De Cerdo Tripack X Kg;$10.490;D:/python/scrapling/imagenes_productos_vea\Fiambre De Cerdo Tripack X Kg_5.jpg
Fiambre De Cerdo Cocido Campo Austral Kg;$15.840;D:/python/scrapling/imagenes_productos_vea\Fiambre De Cerdo Cocido Campo Austral Kg_7.jpg
Jamon Cocido Lario Sobre 1 Kg;$23.647;D:/python/scrapling/imagenes_productos_vea\Jamon Cocido Lario Sobre 1 Kg_8.jpg
