Producto;Precio;Imagen
Gaseosa Pepsi  Lata 354ml X 1u;$1.260;D:/python/scrapling/imagenes_productos_vea\Gaseosa Pepsi  Lata 354ml X 1u_9.jpg
Gaseosa Mirinda Naranja Botella 2,25ltx1;$1.560;D:/python/scrapling/imagenes_productos_vea\Gaseosa Mirinda Naranja Botella 225ltx1_12.jpg
Gaseosa Sabor Original X 600 Ml Coca-cola;$1.916,67;D:/python/scrapling/imagenes_productos_vea\Gaseosa Sabor Original X 600 Ml Coca-col_5.jpg
Gaseosa Coca-cola Sabor Original 354 Ml;$1.916,67;D:/python/scrapling/imagenes_productos_vea\Gaseosa Coca-cola Sabor Original 354 Ml_6.jpg
Gaseosa Zero X 600 Ml Coca-cola;$1.916,67;D:/python/scrapling/imagenes_productos_vea\Gaseosa Zero X 600 Ml Coca-cola_11.jpg
Coca-cola Zero 354 Ml;$1.916,67;D:/python/scrapling/imagenes_productos_vea\Coca-cola Zero 354 Ml_19.jpg
Gaseosa 7 Up Sin Azucar 1.5lt;$2.370;D:/python/scrapling/imagenes_productos_vea\Gaseosa 7 Up Sin Azucar 15lt_10.jpg
Gaseosa Pepsi  Black 1.5lt;$2.370;D:/python/scrapling/imagenes_productos_vea\Gaseosa Pepsi  Black 15lt_14.jpg
Gaseosa Paso De Los Toros Tónica Botella 1,5ltx1;$2.490;D:/python/scrapling/imagenes_productos_vea\Gaseosa Paso De Los Toros Tónica Botella_8.jpg
Gaseosa Paso De Los Toros Pomelo Botella 1,5ltx1;$2.490;D:/python/scrapling/imagenes_productos_vea\Gaseosa Paso De Los Toros Pomelo Botella_15.jpg
