Producto;Precio;Imagen
Harina 000 Morixe 1 Kg;$649;D:/python/scrapling/imagenes_productos_vea\Harina 000 Morixe 1 Kg_0.jpg
Harina De Trigo 000 X 1 Kg Valle Fertil;$799;D:/python/scrapling/imagenes_productos_vea\Harina De Trigo 000 X 1 Kg Valle Fertil_13.jpg
Harina 000 1 Kg Caserita;$900;D:/python/scrapling/imagenes_productos_vea\Harina 000 1 Kg Caserita_4.jpg
Harina Pureza Ultra Refinada 1 Kg;$1.119,75;D:/python/scrapling/imagenes_productos_vea\Harina Pureza Ultra Refinada 1 Kg_8.jpg
Harina 000 Vit X 1 Kg Favorita;$1.150;D:/python/scrapling/imagenes_productos_vea\Harina 000 Vit X 1 Kg Favorita_11.jpg
Polenta Presto Pronta X490g;$1.196,25;D:/python/scrapling/imagenes_productos_vea\Polenta Presto Pronta X490g_1.jpg
Harina 0000 1 Kg Caserita;$1.300;D:/python/scrapling/imagenes_productos_vea\Harina 0000 1 Kg Caserita_12.jpg
Harina 0000 Morixe 1 Kg;$1.350;D:/python/scrapling/imagenes_productos_vea\Harina 0000 Morixe 1 Kg_3.jpg
Harina Leudante 0000 1 Kg Pureza;$1.387,5;D:/python/scrapling/imagenes_productos_vea\Harina Leudante 0000 1 Kg Pureza_9.jpg
Harina Integral 100pureza 1 Kg;$1.425;D:/python/scrapling/imagenes_productos_vea\Harina Integral 100pureza 1 Kg_7.jpg
