Producto;Precio;Imagen
Yogur Sabor Vainilla Firme Semidescremado 120 Grs La Serenisima;$750;D:/python/scrapling/imagenes_productos_vea\Yogur Sabor Vainilla Firme Semidescremad_18.jpg
Leche Entera 1 Lts Manfrey;$1.790;D:/python/scrapling/imagenes_productos_vea\Leche Entera 1 Lts Manfrey_3.jpg
Leche Entera Larga Vida 1 Lts Cuisine & Co;$1.790;D:/python/scrapling/imagenes_productos_vea\Leche Entera Larga Vida 1 Lts Cuisine  C_10.jpg
Leche Parcialmente Descremada 1uat Sachet Cuisine & Co;$1.790;D:/python/scrapling/imagenes_productos_vea\Leche Parcialmente Descremada 1uat Sache_17.jpg
Leche Entera 3% Sachet 1 Lts La Serenísima;$2.049;D:/python/scrapling/imagenes_productos_vea\Leche Entera 3 Sachet 1 Lts La Serenísim_19.jpg
Postre Sabor Dulce de Leche y Crema 1 Un 100 Grs Danette;$2.167,5;D:/python/scrapling/imagenes_productos_vea\Postre Sabor Dulce de Leche y Crema 1 Un_12.jpg
Leche Entera 1 Lts Cuisine y Co;$2.390;D:/python/scrapling/imagenes_productos_vea\Leche Entera 1 Lts Cuisine y Co_1.jpg
Dulce de Leche Tradicional 400 Grs Ilolay;$2.450;D:/python/scrapling/imagenes_productos_vea\Dulce de Leche Tradicional 400 Grs Ilola_14.jpg
Leche Entera Clásica 1 Lts Las Tres Niñas;$2.610;D:/python/scrapling/imagenes_productos_vea\Leche Entera Clásica 1 Lts Las Tres Niña_6.jpg
Leche Descremada 1 Lts Las Tres Niñas;$2.610;D:/python/scrapling/imagenes_productos_vea\Leche Descremada 1 Lts Las Tres Niñas_8.jpg
