Producto;Precio;Imagen
Esponja cuadradito Home Care.;$630;D:/python/scrapling/imagenes_productos_vea\Esponja cuadradito Home Care_4.jpg
Rejilla Home Care Cocina;$868;D:/python/scrapling/imagenes_productos_vea\Rejilla Home Care Cocina_2.jpg
Paño Rejilla Costero Blanco Optico Super Cocina  1 U;$1.007,5;D:/python/scrapling/imagenes_productos_vea\Paño Rejilla Costero Blanco Optico Super_17.jpg
Esponja Abrasiva Cuadriculada x 1 Un Mortimer;$1.040;D:/python/scrapling/imagenes_productos_vea\Esponja Abrasiva Cuadriculada x 1 Un Mor_9.jpg
Esponja de Cocina Poderosa x 1 Un Mortimer;$1.040;D:/python/scrapling/imagenes_productos_vea\Esponja de Cocina Poderosa x 1 Un Mortim_18.jpg
Esponja Multiuso Cuidauñas 1 Un Virulana;$1.050;D:/python/scrapling/imagenes_productos_vea\Esponja Multiuso Cuidauñas 1 Un Virulana_0.jpg
Esponja Go! Max Multiuso;$1.100;D:/python/scrapling/imagenes_productos_vea\Esponja Go Max Multiuso_5.jpg
Trapo de Piso Gris 48x50 Cm x 1 Un;$1.127;D:/python/scrapling/imagenes_productos_vea\Trapo de Piso Gris 48x50 Cm x 1 Un_1.jpg
Esponja Doble Cara 13 x 9 Cm Mortimer;$1.202,5;D:/python/scrapling/imagenes_productos_vea\Esponja Doble Cara 13 x 9 Cm Mortimer_13.jpg
Esponja Acero Home Care;$1.260;D:/python/scrapling/imagenes_productos_vea\Esponja Acero Home Care_15.jpg
