Producto;Precio;Imagen
Alimento Para Gatos Whiskas Pasta Pollo 85 Gr;$945;D:/python/scrapling/imagenes_productos_vea\Alimento Para Gatos Whiskas Pasta Pollo _3.jpg
Alimento Para Gatos Whiskas Pasta Salmón 85 Gr;$945;D:/python/scrapling/imagenes_productos_vea\Alimento Para Gatos Whiskas Pasta Salmón_4.jpg
Alimento Para Gatos Whiskas Pasta Pavo 85 Gr;$945;D:/python/scrapling/imagenes_productos_vea\Alimento Para Gatos Whiskas Pasta Pavo 8_5.jpg
Alimento Whiskas Para Gatos Souffle Adulto Carne X85g;$945;D:/python/scrapling/imagenes_productos_vea\Alimento Whiskas Para Gatos Souffle Adul_6.jpg
Alimento Para Gatos Whiskas Pasta Sardina 85 Gr;$945;D:/python/scrapling/imagenes_productos_vea\Alimento Para Gatos Whiskas Pasta Sardin_9.jpg
Alimento Para Gatos Whiskas Pasta Gatitos 85 Gr;$945;D:/python/scrapling/imagenes_productos_vea\Alimento Para Gatos Whiskas Pasta Gatito_16.jpg
Alimento Para Gatos Whiskas Pasta Carne 85 Gr;$945;D:/python/scrapling/imagenes_productos_vea\Alimento Para Gatos Whiskas Pasta Carne _19.jpg
Alimento Humedo Cat Chow Ad Pollo;$1.650;D:/python/scrapling/imagenes_productos_vea\Alimento Humedo Cat Chow Ad Pollo_8.jpg
Alimento Humedo Cat Chow Estir.pescados;$1.650;D:/python/scrapling/imagenes_productos_vea\Alimento Humedo Cat Chow Estirpescados_13.jpg
Alimento Gati Carne Y Pollo 1 Kg;$3.360;D:/python/scrapling/imagenes_productos_vea\Alimento Gati Carne Y Pollo 1 Kg_11.jpg
