Producto;Precio;Imagen
Papel Higiénico Texturado Hoja Simple x 4 Un Campanita;$1.150;D:/python/scrapling/imagenes_productos_vea\Papel Higiénico Texturado Hoja Simple x _9.jpg
Rollo de Cocina Doble Hoja 19 Cm x 18.7 Cm x 3 Un Sol Mayor;$1.250;D:/python/scrapling/imagenes_productos_vea\Rollo de Cocina Doble Hoja 19 Cm x 187 C_10.jpg
Papel Higienico Simple Hoja 4x30 M Family Care;$1.345,5;D:/python/scrapling/imagenes_productos_vea\Papel Higienico Simple Hoja 4x30 M Famil_5.jpg
Papel Higiénico Fresh Hoja Simple 30 M X 4 Un Higienol;$1.366,8;D:/python/scrapling/imagenes_productos_vea\Papel Higiénico Fresh Hoja Simple 30 M X_8.jpg
Rollo de Cocina Doble Hoja 200 Paños x 1 Un Home Care;$1.669;D:/python/scrapling/imagenes_productos_vea\Rollo de Cocina Doble Hoja 200 Paños x 1_0.jpg
Rollo Cocina Clásico 50 Paños 3 Un Sussex;$1.680;D:/python/scrapling/imagenes_productos_vea\Rollo Cocina Clásico 50 Paños 3 Un Susse_6.jpg
Rollo de Cocina Doble Hoja 200 Paños x 1 Un Elegante;$1.917,5;D:/python/scrapling/imagenes_productos_vea\Rollo de Cocina Doble Hoja 200 Paños x 1_1.jpg
Rollo de Cocina 50 Paños x 3 Un Elegante;$1.917,5;D:/python/scrapling/imagenes_productos_vea\Rollo de Cocina 50 Paños x 3 Un Elegante_12.jpg
Papel Higienico Simple Hoja 6x30 M Family Care.;$2.028;D:/python/scrapling/imagenes_productos_vea\Papel Higienico Simple Hoja 6x30 M Famil_19.jpg
Papel Higiénico Doble Hoja 30 Mts x 4 Un Elegante;$2.275;D:/python/scrapling/imagenes_productos_vea\Papel Higiénico Doble Hoja 30 Mts x 4 Un_15.jpg
