Producto;Precio;Imagen
Sal Fina 500 Grs Dos Estrellas;$690;D:/python/scrapling/imagenes_productos_vea\Sal Fina 500 Grs Dos Estrellas_1.jpg
Sal Gruesa 1 Kg Dos Estrellas;$1.090;D:/python/scrapling/imagenes_productos_vea\Sal Gruesa 1 Kg Dos Estrellas_4.jpg
Sal Entrefina 1 Kg Estrella de Mar;$1.090;D:/python/scrapling/imagenes_productos_vea\Sal Entrefina 1 Kg Estrella de Mar_9.jpg
Sal Fina 500 Grs Dos Anclas;$1.290;D:/python/scrapling/imagenes_productos_vea\Sal Fina 500 Grs Dos Anclas_2.jpg
Sal Gruesa 500 Grs Celusal;$1.487;D:/python/scrapling/imagenes_productos_vea\Sal Gruesa 500 Grs Celusal_11.jpg
Sal Entrefina para Parrilla 500 Grs Celusal;$1.487;D:/python/scrapling/imagenes_productos_vea\Sal Entrefina para Parrilla 500 Grs Celu_12.jpg
Sal Parrillera Entrefina 500 Grs Dos Anclas;$1.499;D:/python/scrapling/imagenes_productos_vea\Sal Parrillera Entrefina 500 Grs Dos Anc_5.jpg
Sal Gruesa 500 Grs Dos Anclas;$1.499;D:/python/scrapling/imagenes_productos_vea\Sal Gruesa 500 Grs Dos Anclas_6.jpg
Sal Fina 500 Grs Celusal;$1.549;D:/python/scrapling/imagenes_productos_vea\Sal Fina 500 Grs Celusal_0.jpg
Sal Fina 500 Grs Dos Anclas;$1.681;D:/python/scrapling/imagenes_productos_vea\Sal Fina 500 Grs Dos Anclas_3.jpg
