Producto;Precio;Imagen
Palitos Salados 120 Grs Cuisine & Co;$1.001;D:/python/scrapling/imagenes_productos_vea\Palitos Salados 120 Grs Cuisine  Co_1.jpg
Maní Salado Sin Piel Mani King 100 Gr;$1.300;D:/python/scrapling/imagenes_productos_vea\Maní Salado Sin Piel Mani King 100 Gr_14.jpg
Mani Pelado 120 Grs Cuisine & Co;$1.384,5;D:/python/scrapling/imagenes_productos_vea\Mani Pelado 120 Grs Cuisine  Co_11.jpg
Palitos Salados Krachitos 110 Gr;$1.600;D:/python/scrapling/imagenes_productos_vea\Palitos Salados Krachitos 110 Gr_17.jpg
Galletitas Saladix Jamón 100 Gr;$1.650;D:/python/scrapling/imagenes_productos_vea\Galletitas Saladix Jamón 100 Gr_18.jpg
Snacks Fuego 49 Grs Takis;$2.000;D:/python/scrapling/imagenes_productos_vea\Snacks Fuego 49 Grs Takis_15.jpg
Papas Fritas Pringles Original X37g;$2.062,5;D:/python/scrapling/imagenes_productos_vea\Papas Fritas Pringles Original X37g_8.jpg
Papas Fritas tradicionales 150 Grs Cuisine & Co;$2.262;D:/python/scrapling/imagenes_productos_vea\Papas Fritas tradicionales 150 Grs Cuisi_2.jpg
Papas Fritas Corte Americano 150 Grs Cuisine & Co;$2.262;D:/python/scrapling/imagenes_productos_vea\Papas Fritas Corte Americano 150 Grs Cui_5.jpg
Papas Ketchup X 82 Gr Quento;$2.350;D:/python/scrapling/imagenes_productos_vea\Papas Ketchup X 82 Gr Quento_19.jpg
